otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	p.value.adj
Porphyromonadaceae (OTU 592)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 593)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 595)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 596)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 597)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 598)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 599)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Curvibacter (OTU 600)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 601)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 602)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Erysipelotrichaceae (OTU 604)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 605)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 606)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 607)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Prevotella (OTU 608)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 609)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 610)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 611)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 612)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 613)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 614)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 615)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 616)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 617)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 618)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 620)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 621)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 622)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 623)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 624)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 625)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillus (OTU 627)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Sutterella (OTU 628)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Sutterella (OTU 629)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 630)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 631)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillus (OTU 635)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Megasphaera (OTU 636)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 637)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 638)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 640)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 641)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Phascolarctobacterium (OTU 642)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 644)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 645)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 646)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 647)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 649)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 650)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillaceae (OTU 652)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Mucispirillum (OTU 653)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 654)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 655)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 657)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Cloacibacillus (OTU 658)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Peptostreptococcaceae (OTU 659)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 660)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 662)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 663)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 664)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 666)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 667)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 668)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 669)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridia (OTU 671)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidetes (OTU 672)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 674)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Escherichia/Shigella (OTU 675)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 676)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 677)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 678)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 680)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridia (OTU 681)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 682)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Veillonella (OTU 683)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Comamonadaceae (OTU 684)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 685)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Dorea (OTU 686)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 689)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 690)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 693)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 696)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 697)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 698)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Dorea (OTU 699)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 700)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 705)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 707)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 708)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 709)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 710)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillales (OTU 712)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium_sensu (OTU 713)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 714)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 715)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 716)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Escherichia/Shigella (OTU 717)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 718)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 720)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 721)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 722)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 723)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 724)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 725)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 726)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Actinomyces (OTU 727)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Senegalimassilia (OTU 728)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 731)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 733)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Carnobacteriaceae (OTU 734)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 735)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 738)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 739)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 740)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Gemmata (OTU 741)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 742)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 743)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Collinsella (OTU 744)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Anaerotruncus (OTU 745)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 747)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Butyricimonas (OTU 748)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Aestuariispira (OTU 749)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 750)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Prevotella (OTU 751)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Oscillibacter (OTU 752)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Peptostreptococcaceae (OTU 753)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 754)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 755)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 758)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 761)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 762)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 764)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 766)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 767)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 768)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 769)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 770)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 775)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 776)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 778)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 781)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 782)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 784)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 785)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 787)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 789)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 790)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 792)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 793)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 794)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 797)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 799)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 800)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Actinomycetales (OTU 801)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 802)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 803)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 804)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Oscillibacter (OTU 805)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 806)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 808)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 812)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Fusobacterium (OTU 813)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 815)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 817)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 818)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 819)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 822)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 825)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Barnesiella (OTU 826)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 828)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 829)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 830)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 831)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillus (OTU 834)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 836)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Anaerostipes (OTU 840)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 841)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Alloprevotella (OTU 843)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 845)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 846)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Cloacibacterium (OTU 847)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 848)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 850)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Butyrivibrio (OTU 852)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Enterorhabdus (OTU 856)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 857)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Alphaproteobacteria (OTU 860)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillaceae (OTU 861)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 864)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 865)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 867)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Rothia (OTU 870)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 873)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 877)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Peptostreptococcus (OTU 878)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillus (OTU 882)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 886)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 887)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 890)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridia (OTU 895)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 896)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 897)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 899)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Turicibacter (OTU 900)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Methylobacterium (OTU 901)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 903)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Roseburia (OTU 904)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 905)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Campylobacter (OTU 907)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 908)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium_sensu (OTU 910)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 911)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 912)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Erysipelotrichaceae (OTU 913)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 914)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 915)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 917)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 920)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 922)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 923)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 925)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 927)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 928)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 929)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
